symbol,direction,signal_date,entry_date,entry_price,reference_open_price,exit_date,exit_price,exit_reason,size,risk_per_unit,initial_risk_eur,confidence,leverage,gross_pnl_eur,costs_eur,net_pnl_eur,gross_r,net_r,mae_r,mfe_r,bars_held,gapped_exit,execution_delay_r
MSFT,long,2026-07-27,2026-07-28,396.8599853515625,393.1600036621094,2026-07-29,397.9500122070313,target_intraday,2.542948005499522,29.449385351562512,74.88825574294273,76.7,1.0,2.7718816180551737,13.116382739234885,-10.344501121179707,0.0370135689575917,-0.1381324884463549,0.0,0.0370135689575917,0,False,-0.1256386727696784
AMZN,short,2026-07-27,2026-07-28,231.3000030517578,232.8500061035156,2026-07-29,226.215,target,10.925782408455357,6.864496948242191,75.0,100.0,1.0,55.55763688983728,29.49290154571011,26.064735344127165,0.740768491864497,0.3475298045883622,0.2636751931337431,0.7487801988118954,2,False,-0.2257999476792974
IS3N.DE,short,2026-07-29,2026-07-30,44.73699951171875,43.652000427246094,2026-07-31,45.35599899291992,stop_intraday,292.5136776039882,0.1668004882812468,48.79142425328845,75.8,1.0,-181.0658146811156,15.176717159481234,-196.2425318405968,-3.711017201325335,-4.022070165893352,3.711017201325335,7.859694162070411,1,False,6.504771632581854
ORCL,short,2026-07-27,2026-07-28,121.5500030517578,118.18000030517578,2026-08-03,141.85000610351562,stop_intraday,4.526081997930693,16.526196948242188,74.79892250169613,76.2,1.0,-91.87947837049924,8.556935218308546,-100.43641358880777,-1.228352966828042,-1.3427521444113086,1.2283529668280422,0.4265956090101948,4,False,0.2039188300330928
EXXY.DE,long,2026-07-30,2026-07-31,33.47999954223633,33.400001525878906,2026-08-03,33.10499954223633,stop_intraday,243.6058785162267,0.3018995422363275,73.54450321012726,87.7,1.0,-91.352204443585,10.110248598987557,-101.46245304257256,-1.242135040093732,-1.379606205955049,1.242135040093732,0.7121579284131148,1,False,-0.2649822380147874
IQQ6.DE,long,2026-07-30,2026-07-31,23.13500022888184,23.270000457763672,2026-08-04,22.9692,stop,224.8709748760676,0.1658002288818352,37.28365910333343,100.0,1.0,-37.28365910333422,7.183748225675039,-44.46740732900926,-1.000000000000021,-1.1926781973240808,1.7490984028377257,0.9047009135142612,3,False,0.8142342733317106
TSLA,short,2026-08-04,2026-08-05,321.54998779296875,323.4200134277344,2026-08-14,345.2806,stop,3.0024174325850703,23.730612207031243,71.24920377630667,100.0,1.0,-71.24920377630667,13.011570797538074,-84.26077457384474,-1.0,-1.182620578306939,1.2519703121630104,0.2540802541403567,8,False,-0.0788022499567688
META,short,2026-08-14,2026-08-17,574.2150268554688,589.75,2026-08-18,552.5900268554688,target_intraday,2.0352435180195765,32.088473144531235,65.30785697055245,59.5,1.0,44.01214107717334,14.613274749002874,29.398866328170463,0.6739180110751234,0.4501581845110385,0.0,0.6739180110751234,0,False,-0.4841293967014083
EXV6.DE,long,2026-08-14,2026-08-18,81.91000366210938,82.4800033569336,2026-08-21,87.0,target_intraday,24.999533913246392,0.7284036621093719,18.20975205343611,100.0,1.0,127.24753606739662,4.111335682418738,123.13620038497788,6.987878566055792,6.762101978304672,0.0,6.987878566055792,3,False,0.7825327143105874
EXH4.DE,long,2026-08-06,2026-08-07,122.2,,2026-08-20,120.275,stop,36.98798955877606,1.9249999999999967,71.2018799006438,89.4,1.0,-71.2018799006438,6.484331384132112,-77.68621128477591,-1.0,-1.0910696654804681,1.1532450093851496,1.0389594536323057,10,False,
EXSI.DE,long,2026-08-06,2026-08-07,69.38,,2026-08-20,68.2867,stop,65.10329292456649,1.0932999999999993,71.17743015442849,79.4,1.0,-71.17743015442849,6.481277748029209,-77.6587079024577,-1.0,-1.0910580465460364,1.061006841028877,0.6128263530209618,10,False,
