symbol,direction,signal_date,entry_date,entry_price,reference_open_price,stop,target,size,risk_per_unit,initial_risk_eur,entry_cost_eur,confidence,leverage,currency,mae_r,mfe_r,bars_held,last_processed_date
MSFT,long,2026-08-03,2026-08-04,492.80999755859375,480.7550048828125,477.1208,521.2385,4.591276639324087,15.689197558593776,72.03344624051209,13.444448661788726,97.0,1.0,USD,0.9981392358420262,1.591542948262761,27,2026-09-10
PLTR,short,2026-09-01,2026-09-02,169.27499389648438,176.9949951171875,191.0328,162.5167,3.2230311014344464,21.75780610351564,70.12608577061111,4.000682135129224,100.0,1.0,USD,0.7608767104462496,0.21716301828625523,6,2026-09-10
EXH1.DE,long,2026-09-08,2026-09-10,55.79999923706055,56.060001373291016,55.2011,59.54,115.85197920370048,0.5988992370605501,69.38366195705093,4.23227017558922,100.0,1.0,EUR,0.05008986059843995,0.8348649807170297,1,2026-09-09
TSLA,short,2026-09-10,2026-09-11,364.9599914550781,364.1400146484375,373.7007,337.24,6.557811896117647,8.740708544921858,57.31992247638573,14.163364354641082,62.1,1.0,USD,0.0,0.0,0,2026-09-10
