ticker,reference_price,note,added_date
SXR8.DE,,ETF azionario USA - iShares Core S&P 500 UCITS Acc - ISIN IE00B5BMR087 - TER 0.07% - EUR su Xetra,2026-07-28
EXSA.DE,,ETF azionario Europa - iShares STOXX Europe 600 UCITS Dist - ISIN DE0002635307 - TER 0.20% - EUR,2026-07-28
EXX7.DE,,ETF azionario Giappone - iShares Nikkei 225 UCITS - ISIN DE000A0H08D2 - EUR su Xetra,2026-07-28
IS3N.DE,,ETF azionario emergenti - iShares Core MSCI EM IMI UCITS Acc - ISIN IE00BKM4GZ66 - TER 0.18%,2026-07-28
4GLD.DE,,ETC oro fisico - Xetra-Gold - ISIN DE000A0S9GB0 - TER 0% - driver scorrelato dall'azionario,2026-07-28
EXXY.DE,,ETF materie prime - iShares Diversified Commodity Swap UCITS - ISIN DE000A0H0728 - Bloomberg Commodity,2026-07-28
IBCL.DE,,ETF obbligazioni governative euro 15-30 anni - ISIN IE00B1FZS913 - TER 0.15% - duration lunga,2026-07-28
IQQ6.DE,,ETF immobiliare quotato - iShares Developed Markets Property Yield - ISIN IE00B1FZS350 - TER 0.59%,2026-07-28
